111238	47.1774	-0.181	-0.000512347	1135586
111255	1.05305	-0.139135	-8.79102e-06	170
111261	17.9554	-0.181	-0.000194996	388021
111285	37.7632	-0.181	-0.000410108	906804
111287	41.5941	-0.122658	-0.00030611	820549
111288	27.5907	-0.181	-0.000299635	311252
111291	19.6125	-0.181	-0.000212992	337540
111299	36.4955	-0.181	-0.000396341	391576
111310	45.2359	-0.181	-0.000491262	1058101
111312	12.3924	-0.181	-0.000134581	114038
111315	15.8542	-0.181	-0.000172176	383913
111347	36.3374	-0.0494087	-0.000107723	495178
111351	30.9811	-0.181	-0.000336455	283903
111352	36.7193	-0.181	-0.000398772	328549
