4.08253 0 0 0 0
12.5111 1 0 0 0
-14.5556 0 1 0 0
-1.20122 0 0 1 0
-3.0052 0 0 0 1
49.2671 2 0 0 0
-124.827 1 1 0 0
75.7079 0 2 0 0
-6.1879 1 0 1 0
7.68671 0 1 1 0
1.07959 0 0 2 0
-5.17757 1 0 0 1
4.47615 0 1 0 1
0.975149 0 0 1 1
1.09346 0 0 0 2
-5.7017 3 0 0 0
21.6119 2 1 0 0
-27.5365 1 2 0 0
11.6507 0 3 0 0
-15.3653 2 0 1 0
38.9623 1 1 1 0
-24.8548 0 2 1 0
-0.33701 1 0 2 0
0.412699 0 1 2 0
-0.331314 0 0 3 0
-25.4193 2 0 0 1
64.5511 1 1 0 1
-38.9568 0 2 0 1
-0.304892 1 0 1 1
1.45174 0 1 1 1
-0.283454 0 0 2 1
-0.297391 1 0 0 2
0.869634 0 1 0 2
-0.323798 0 0 1 2
-0.290103 0 0 0 3
