-6.67526 0 0 0 0
-12.6471 1 0 0 0
19.1079 0 1 0 0
0.939971 0 0 1 0
6.75703 0 0 0 1
-37.9284 2 0 0 0
97.2562 1 1 0 0
-58.9106 0 2 0 0
4.80139 1 0 1 0
-9.11903 0 1 1 0
-0.588721 0 0 2 0
6.74579 1 0 0 1
-10.5105 0 1 0 1
-0.55719 0 0 1 1
-2.04739 0 0 0 2
2.04908 3 0 0 0
-6.07211 2 1 0 0
5.82596 1 2 0 0
-1.66762 0 3 0 0
8.03891 2 0 1 0
-19.4885 1 1 1 0
12.1731 0 2 1 0
-0.591043 1 0 2 0
0.760536 0 1 2 0
0.451627 0 0 3 0
18.9421 2 0 0 1
-48.734 1 1 0 1
29.2174 0 2 0 1
6.03881e-12 1 0 1 1
0.70259 0 1 1 1
-6.95045e-12 0 0 2 1
-0.558475 1 0 0 2
1.14309 0 1 0 2
0.0928794 0 0 1 2
0.263297 0 0 0 3
